"V1" "V2" "V3" "V4" "V5" "V6"
-2.453 5.1864 -4.7344 6.6639 -3.0865 4.7068
0.7907 -1.5837 0.5391 0.3023 0.3441 -2.433
1.7464 0.5855 -2.3247 -0.5417 -3.1238 2.9928
3.037 -0.391 1.5975 -1.1998 3.4757 2.8437
-0.2377 3.1081 -4.2585 9.6841 -3.9025 -0.0979
-1.181 -1.8109 -0.5614 -1.3591 1.0989 1.9816
1.2768 1.0203 1.2375 2.1252 1.8594 -0.2969
-0.3365 -3.2945 0.1533 1.4302 -1.8318 0.6604
0.0324 1.0501 0.9255 -1.3198 2.8653 1.8002
0.344 4.8394 -0.5361 -0.726 0.1123 1.3925
3.3597 0.2927 -0.3341 -0.512 -1.7122 -2.9142
-2.8106 -2.7408 -2.579 -0.627 -1.6906 0.6777
1.0432 -1.213 2.2764 1.4353 1e-04 -0.3738
-1.3649 -2.0572 0.5411 -2.3676 1.8623 2.3004
0.9235 1.9819 -1.2482 2.4397 0.1732 -3.2362
-2.8906 -3.2673 -1.4737 -3.7581 -1.4347 0.0344
-1.6022 -0.4287 -2.4025 -0.0578 -5.7844 4.2899
-3.0754 -1.1398 -4.9265 6.9764 -1.2723 -3.0934
-1.1525 -1.7245 -1.5313 -3.8003 -2.4764 -0.6015
4.6142 -4.5209 3.1623 -0.365 3.7094 -1.1692
-1.1132 -0.9515 -2.503 -2.1997 -1.5195 -1.1706
-0.3423 -0.4758 -2.9343 -0.1507 -0.5712 -0.921
3.0567 -2.8806 1.6324 -5.2045 0.283 -1.4034
3.8887 4.3881 1.6344 -0.738 -0.72 2.1463
6.2038 -5.0801 1.6883 -1.3075 1.8864 1.1528
0.1396 -2.7935 -1.7812 -4.6782 1.6711 -3.5088
-1.7491 0.896 -0.5603 -0.3973 0.917 -1.6379
2.9471 -1.9929 3.5735 -0.5824 3.4004 -0.7527
2.6182 -1.6122 2.7242 -0.8829 3.5541 -1.253
1.7355 -2.2674 0.3234 -3.3703 -1.9169 -1.6431
1.4831 3.1498 1.7421 2.0814 2.4338 -1.2308
0.2141 -4.9172 1.449 -0.4199 -0.0766 1.7469
1.4057 6.5568 -1.6911 3.014 -3.73 -1.2701
0.9977 -7.6601 0.2513 -0.2074 1.2762 -4.3835
0.7377 -1.7725 0.4325 3.5248 -1.3379 3.3779
0.4962 2.3432 -1.9253 -1.2183 -1.2714 0.3135
1.2574 -2.9288 1.9213 -0.0339 2.8229 3.2921
-1.6437 2.9171 -3.8127 1.7794 -1.4099 3.3714
-0.7122 -1.4147 -3.7145 1.986 -0.4237 2.1539
-4.7845 -2.8997 -2.3794 1.2272 -1.4465 3.149
2.7262 0.0814 0.7005 2.7041 0.0545 -1.1279
-0.6151 -4.2795 1.5987 -3.31 5.5681 -5.6749
-1.4418 4.945 -1.2874 4.9932 -0.4901 -0.4658
-1.4929 -0.7321 -0.789 0.9946 -1.4336 0.8773
-0.9334 -2.9746 -4.3353 -3.3429 -7.263 -0.176
-1.147 2.0721 -4.7139 0.5086 -3.0017 3.0706
3.0115 0.4632 -1.063 -1.8512 1.7626 3.2651
0.151 -5.6355 2.9187 -3.8472 1.849 -1.4366
2.2146 5.3277 -1.205 3.5114 -2.7693 1.8363
-1.7905 0.2951 -2.8069 4.0245 -5.7691 0.7859
2.1534 3.6804 2.4592 1.5708 2.1726 1.725
2.1594 -2.1475 1.9659 -0.7403 0.7677 -0.6218
-4.2799 1.6576 -3.7781 2.6782 -2.5637 0.81
-0.8359 -0.1571 -6.1893 -0.8927 -2.3018 -2.7224
-0.3496 0.8838 0.7635 3.3442 -1.4593 -0.7913
0.5243 -1.2487 2.9324 3.0411 4.5075 -0.8339
1.2444 -3.9298 -0.3718 -2.3022 2.2898 3.1077
-2.6277 0.7217 -2.0016 -1.5248 -2.3112 -0.337
-2.1298 1.2672 -3.7816 7.6463 -5.4381 4.0202
-2.9652 0.5634 -0.1945 3.9431 1.6293 -2.1287
1.5981 -1.5218 0.2772 -1.9721 1.9268 -0.7264
-1.5063 -6.958 -0.4205 -1.2498 -0.3222 -2.0963
1.0555 2.8533 0.6378 2.3844 -1.7609 1.2867
-2.3609 1.6139 1.6241 -0.1145 3.7792 -0.7994
-1.2705 -2.5723 0.4267 1.4344 -2.558 3.5419
-2.3305 0.4774 -1.7046 2.7581 -3.7625 1.7172
1.9641 6.2775 -0.8178 0.754 -0.1997 -0.315
-3.1263 -5.4955 -1.8424 -6.342 0.281 3.1232
-1.9741 -5.1869 1.1985 -3.3229 -1.3838 1.2621
0.9505 2.267 -1.3899 3.8012 -1.2709 2.9864
0.4056 4.0661 2.3957 5.4715 -1.4536 1.4151
-0.788 1.1154 -2.0858 -1.4008 -3.2247 2.6093
0.3576 -2.2934 -0.6965 1.411 -0.5842 -1.7826
-2.8122 0.6405 2.0389 0.0667 1.7127 -0.132
1.2494 -1.7054 -2.2584 -4.4653 -1.3744 -0.4384
-0.1712 1.1167 -2.9611 0.6594 -1.5704 -0.8606
-3.2198 4.1187 0.5163 1.9206 1.3494 0.0268
2.8534 -5.0976 4.6293 -2.681 6.7363 -0.2922
0.0035 0.4199 -3.4606 0.4342 -4.3282 0.7196
2.1868 1.742 1.1017 0.0673 1.4305 -0.8071
-0.4589 0.7385 0.1096 0.7686 1.7279 -0.1396
-0.5974 0.2143 -2.2166 -0.7599 -5.1404 0.2294
0.5309 6.0542 5.5615 3.9696 3.3164 3.9698
2.5779 -1.3346 0.534 -3.5194 3.4342 1.5823
2.4102 -1.9238 1.4657 -0.8233 0.9787 -1.7908
2.1344 -3.202 2.4618 -1.7547 2.7805 2.9892
-2.6595 1.1808 -1.3846 2.7454 -2.5802 -2.6526
0.5003 -1.0299 -3.4687 1.3384 -2.8274 -1.0027
2.6433 5.7854 -2.3915 3.0042 -1.2934 -2.3393
-0.5541 -1.719 -0.4358 -0.4866 2.7042 0.6957
-0.6131 2.3686 2.5182 0.8481 -0.1236 1.7924
1.8863 -6.5904 2.1382 1.9103 -0.2531 -2.5686
-0.86 1.3404 0.9206 2.6808 1.9638 1.9826
-3.1275 3.879 -1.755 6.6129 0.8619 1.6659
-1.9586 1.5353 -1.4963 -2.6926 -1.8999 -0.4485
1.9445 3.7812 1.7641 5.7851 -0.4446 -0.9019
-2.5301 2.6839 -0.9945 0.4354 0.6287 2.8606
1.6748 -1.5901 5.7036 -1.9662 4.9145 -1.4542
