"V1" "V2" "V3" "V4" "V5" "V6"
0.3619 0.3147 0.8028 -0.6746 1.0586 -6.1733
0.0168 1.1274 2.2022 4.4027 3.4949 1.6373
-2.6038 -2.4482 -4.2115 -1.7768 -5.152 5.8023
2.8788 3.7082 1.7713 -0.5468 0.7542 -0.7891
0.257 -1.2323 1.408 2.1721 1.1755 -2.9017
-3.9999 -0.6714 -3.2318 0.3125 -2.8031 1.667
-0.2207 -3.1992 -1.3474 -1.4596 -3.7258 -3.4069
1.4047 1.2179 3.535 2.6487 4.1091 -2.6892
-1.8743 -8.132 -3.6233 -5.4777 -1.1837 0.3542
1.1169 2.2983 3.2311 -2.4942 1.7347 1.0072
-1.3674 1.3684 3.8552 -0.018 5.729 4.1842
0.6271 2.7156 2.9343 -1.25 2.719 0.426
-2.1535 -5.4795 -3.22 -4.2134 -1.3088 -6.8826
2.9498 3.0315 0.5355 2.4519 1.5376 2.4156
-1.9954 3.3373 -0.1861 5.2851 3.5777 2.117
-1.9146 -2.4844 2.9995 -5.9159 5.1151 1.4579
0.1913 1.8699 3.0911 -0.9743 0.3119 2.4878
4.9461 2.127 4.5314 2.3326 2.7511 6.2214
-0.012 1.3467 1.469 -1.1504 1.2926 1.6507
-0.7953 -5.3647 -0.0661 -2.5954 0.4276 -3.3215
-0.2074 2.4363 -4.4062 2.3902 -2.7096 -1.0272
0.5194 3.6454 3.3327 -0.3582 4.6613 5.1836
-2.3324 4.5045 -2.9057 -2.8282 -4.1541 4.6941
4.9625 3.7301 3.991 2.0093 3.3066 1.5913
2.3327 5.5361 4.3824 -0.9388 3.5012 -0.4306
2.4513 1.0237 2.5968 -2.0515 2.3239 2.7987
-1.3485 -0.5149 -0.5707 -0.0063 1.5444 0.7912
