"V1" "V2" "V3"
2.0221 3.6753 0.9862
3.2996 2.9667 0.5533
5.7357 -0.3863 -3.3554
2.698 0.9979 -0.5065
1.239 3.7109 1.7217
5.6643 7.9164 1.4006
-0.5106 -3.5929 1.8059
3.8984 -0.967 -2.0108
5.5167 1.7749 0.4725
1.5737 2.2226 3.4193
3.2891 4.2857 1.1851
3.9223 6.27 1.7493
3.2553 2.6809 3.2868
-1.299 1.1241 0.9512
4.5884 4.6631 6.1449
3.5819 2.6746 3.3985
-0.0728 6.3183 6.2836
2.4406 2.3435 4.2504
-1.1715 1.0257 0.3026
4.4457 7.0695 6.0157
2.9671 2.0994 4.3878
-0.7915 -1.3883 2.203
0.3119 5.1308 8.2909
2.391 6.1988 3.8198
-2.2009 1.901 3.6491
2.3365 0.4353 0.9282
